date,l_ipn,f
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,13
2006-07-01,0,3
2006-07-01,0,2
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,20
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,37
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,0,2
2006-07-01,0,1
2006-07-01,0,1
2006-07-01,1,1
2006-07-01,1,6
2006-07-01,1,2
2006-07-01,1,519
2006-07-01,1,9
2006-07-01,1,1
2006-07-01,1,3
2006-07-01,1,7
2006-07-01,1,1
2006-07-01,1,21
2006-07-01,1,1
2006-07-01,1,5
2006-07-01,1,52
2006-07-01,1,3
2006-07-01,1,4
2006-07-01,1,2
2006-07-01,1,1
2006-07-01,1,1
2006-07-01,1,1
2006-07-01,2,218
2006-07-01,2,8
2006-07-01,2,1
2006-07-01,2,8
2006-07-01,2,3
2006-07-01,2,6
2006-07-01,2,933
2006-07-01,2,3
2006-07-01,2,198
2006-07-01,2,62
2006-07-01,2,50
2006-07-01,2,4
2006-07-01,2,8
2006-07-01,2,174
2006-07-01,2,1
2006-07-01,3,1
2006-07-01,3,1
2006-07-01,3,1
2006-07-01,3,7
2006-07-01,3,6
2006-07-01,3,2
2006-07-01,3,1
2006-07-01,3,1
2006-07-01,3,2
2006-07-01,4,5
2006-07-01,4,1
2006-07-01,4,21
2006-07-01,4,10
2006-07-01,4,1
2006-07-01,4,21
2006-07-01,4,1
2006-07-01,4,34
2006-07-01,4,6
2006-07-01,4,1
2006-07-01,4,83
2006-07-01,5,3
2006-07-01,5,3
2006-07-01,5,1
2006-07-01,5,7
2006-07-01,5,6
2006-07-01,5,4
2006-07-01,5,6
2006-07-01,5,2
2006-07-01,5,8
2006-07-01,5,1
2006-07-01,5,2
2006-07-01,5,1
2006-07-01,6,2
2006-07-01,6,14
2006-07-01,6,8
2006-07-01,6,6
2006-07-01,6,11
2006-07-01,6,13
2006-07-01,6,1
2006-07-01,6,2
2006-07-01,6,4
2006-07-01,6,1
2006-07-01,6,1
2006-07-01,7,7
2006-07-01,7,46
2006-07-01,7,55
2006-07-01,7,3
2006-07-01,7,35
2006-07-01,7,10
2006-07-01,7,6
2006-07-01,7,10
2006-07-01,7,2
2006-07-01,7,2
2006-07-01,7,5
2006-07-01,7,2
2006-07-01,7,2
2006-07-01,7,5
2006-07-01,7,2
2006-07-01,7,32
2006-07-01,7,2
2006-07-01,7,19
2006-07-01,7,4
2006-07-01,7,7
2006-07-01,7,48
2006-07-01,7,15
2006-07-01,7,26
2006-07-01,7,5
2006-07-01,7,2
2006-07-01,7,6
2006-07-01,7,5
2006-07-01,7,15
2006-07-01,7,16
2006-07-01,7,8
2006-07-01,7,7
2006-07-01,7,2
2006-07-01,8,4
2006-07-01,8,3
2006-07-01,8,7
2006-07-01,8,4
2006-07-01,8,10
2006-07-01,8,6
2006-07-01,8,1
2006-07-01,8,5
2006-07-01,8,4
2006-07-01,8,21
2006-07-01,8,7
2006-07-01,8,23
2006-07-01,8,5
2006-07-01,8,5
2006-07-01,8,4
2006-07-01,8,1
2006-07-01,8,4
2006-07-01,8,16
2006-07-01,8,13
2006-07-01,8,4
2006-07-01,8,4
2006-07-01,8,4
2006-07-01,8,1
2006-07-01,8,4
2006-07-01,8,6
2006-07-01,8,7
2006-07-01,8,6
2006-07-01,8,4
2006-07-01,8,4
2006-07-01,8,4
2006-07-01,8,228
2006-07-01,8,1
2006-07-01,8,5
2006-07-01,8,1
2006-07-01,8,4
2006-07-01,8,8
2006-07-01,8,4
2006-07-01,8,2
2006-07-01,8,4
2006-07-01,9,43
2006-07-01,9,6
2006-07-01,9,1
2006-07-01,9,8
2006-07-01,9,17
2006-07-01,9,193
2006-07-01,9,71
2006-07-01,9,34
2006-07-01,9,13
2006-07-01,9,2
2006-07-01,9,104
2006-07-01,9,5
2006-07-01,9,7
2006-07-01,9,5
2006-07-01,9,32
2006-07-01,9,6
2006-07-01,9,2
2006-07-01,9,5
2006-07-01,9,1
2006-07-01,9,6
2006-07-01,9,7
2006-07-01,9,59
2006-07-01,9,15
2006-07-01,9,6
2006-07-01,9,9
2006-07-01,9,12
2006-07-01,9,7
2006-07-01,9,79
2006-07-01,9,328
2006-07-01,9,40
2006-07-01,9,15
2006-07-01,9,8
2006-07-01,9,4
2006-07-01,9,89
2006-07-01,9,6
2006-07-01,9,1
2006-07-01,9,217
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,8
2006-07-02,0,1
2006-07-02,0,14
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,2
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,16
2006-07-02,0,849
2006-07-02,0,1
2006-07-02,0,2
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,2
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,0,1
2006-07-02,1,1
2006-07-02,1,2
2006-07-02,1,6
2006-07-02,1,1611
2006-07-02,1,50
2006-07-02,1,2
2006-07-02,1,1
2006-07-02,1,8
2006-07-02,1,2
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,9
2006-07-02,1,1
2006-07-02,1,3
2006-07-02,1,1
2006-07-02,1,2
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,2
2006-07-02,1,1
2006-07-02,1,53
2006-07-02,1,1
2006-07-02,1,2
2006-07-02,1,849
2006-07-02,1,4
2006-07-02,1,7
2006-07-02,1,16
2006-07-02,1,10
2006-07-02,1,2
2006-07-02,1,3
2006-07-02,1,2
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,1,1
2006-07-02,2,1
2006-07-02,2,1
2006-07-02,2,92
2006-07-02,2,1
2006-07-02,2,38
2006-07-02,2,1
2006-07-02,2,7
2006-07-02,2,16
2006-07-02,2,936
2006-07-02,2,4
2006-07-02,2,83
2006-07-02,2,3
2006-07-02,2,849
2006-07-02,2,4
2006-07-02,3,2
2006-07-02,3,5
2006-07-02,3,2
2006-07-02,3,2
2006-07-02,3,4
2006-07-02,3,8
2006-07-02,3,1
2006-07-02,3,1
2006-07-02,3,1
2006-07-02,3,4
2006-07-02,4,1
2006-07-02,4,29
2006-07-02,4,1
2006-07-02,4,390
2006-07-02,4,4
2006-07-02,4,413
2006-07-02,4,85
2006-07-02,4,18
2006-07-02,5,1
2006-07-02,5,1
2006-07-02,5,2
2006-07-02,5,5
2006-07-02,5,1
2006-07-02,5,1
2006-07-02,5,10
2006-07-02,5,7
2006-07-02,5,2
2006-07-02,5,5
2006-07-02,5,5
2006-07-02,5,7
2006-07-02,5,2
2006-07-02,5,1
2006-07-02,5,2
2006-07-02,5,4
2006-07-02,5,2
2006-07-02,5,2
2006-07-02,6,1
2006-07-02,6,5
2006-07-02,6,2
2006-07-02,6,5
2006-07-02,6,8
2006-07-02,6,1
2006-07-02,6,2
2006-07-02,6,1
2006-07-02,6,2
2006-07-02,7,7
2006-07-02,7,6
2006-07-02,7,1
2006-07-02,7,2
2006-07-02,7,2
2006-07-02,7,2
2006-07-02,7,48
2006-07-02,8,7
2006-07-02,8,1
2006-07-02,8,4
2006-07-02,8,2
2006-07-02,8,570
2006-07-02,8,105
2006-07-02,9,2
2006-07-02,9,3
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,7
2006-07-03,0,1
2006-07-03,0,9
2006-07-03,0,1
2006-07-03,0,28
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,101
2006-07-03,0,3
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,2
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,17
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,48
2006-07-03,0,3
2006-07-03,0,2
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,1
2006-07-03,0,2
2006-07-03,1,5
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,1564
2006-07-03,1,30
2006-07-03,1,1074
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,7
2006-07-03,1,1
2006-07-03,1,101
2006-07-03,1,3
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,6
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,5
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,190
2006-07-03,1,1
2006-07-03,1,4
2006-07-03,1,2
2006-07-03,1,12
2006-07-03,1,13
2006-07-03,1,1
2006-07-03,1,5
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,2
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,1,2
2006-07-03,1,1
2006-07-03,1,1
2006-07-03,2,103
2006-07-03,2,1
2006-07-03,2,3
2006-07-03,2,4
2006-07-03,2,1
2006-07-03,2,8
2006-07-03,2,101
2006-07-03,2,1
2006-07-03,2,10
2006-07-03,2,1
2006-07-03,2,933
2006-07-03,2,1
2006-07-03,2,5
2006-07-03,2,94
2006-07-03,2,1
2006-07-03,2,1
2006-07-03,2,4
2006-07-03,2,8
2006-07-03,2,1
2006-07-03,2,3
2006-07-03,2,8
2006-07-03,2,4
2006-07-03,3,2
2006-07-03,3,6
2006-07-03,3,6
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,2
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,3,1
2006-07-03,4,6
2006-07-03,4,101
2006-07-03,4,1
2006-07-03,4,15
2006-07-03,4,1
2006-07-03,4,2
2006-07-03,4,2
2006-07-03,4,1
2006-07-03,4,34
2006-07-03,4,82
2006-07-03,5,2
2006-07-03,5,2
2006-07-03,5,6
2006-07-03,5,4
2006-07-03,5,3
2006-07-03,5,2
2006-07-03,5,2
2006-07-03,5,1
2006-07-03,5,3
2006-07-03,5,4
2006-07-03,5,2
2006-07-03,5,6
2006-07-03,5,6
2006-07-03,5,1
2006-07-03,5,2
2006-07-03,5,1
2006-07-03,5,1
2006-07-03,5,3
2006-07-03,5,2
2006-07-03,5,1
2006-07-03,5,3
2006-07-03,5,2
2006-07-03,5,6
2006-07-03,5,1
2006-07-03,5,1
2006-07-03,5,1
2006-07-03,5,2
2006-07-03,5,1
2006-07-03,6,2
2006-07-03,6,6
2006-07-03,6,9
2006-07-03,6,1
2006-07-03,6,2
2006-07-03,6,1
2006-07-03,6,1
2006-07-03,6,1
2006-07-03,6,2
2006-07-03,6,2
2006-07-03,6,1
2006-07-03,6,1
2006-07-03,6,2
2006-07-03,6,2
2006-07-03,6,1
2006-07-03,6,1
2006-07-03,7,2
2006-07-03,7,7
2006-07-03,7,3
2006-07-03,7,7
2006-07-03,7,2
2006-07-03,7,33
2006-07-03,7,1
2006-07-03,7,36
2006-07-03,7,2
2006-07-03,7,1
2006-07-03,7,5
2006-07-03,7,3
2006-07-03,7,2
2006-07-03,7,2
2006-07-03,7,8
2006-07-03,7,1
2006-07-03,7,1
2006-07-03,7,2
2006-07-03,7,1
2006-07-03,7,2
2006-07-03,7,3
2006-07-03,7,1
2006-07-03,7,11
2006-07-03,7,11
2006-07-03,7,9
2006-07-03,7,3
2006-07-03,7,4
2006-07-03,7,1
2006-07-03,7,1
2006-07-03,7,1
2006-07-03,7,4
2006-07-03,7,130
2006-07-03,7,16
2006-07-03,7,56
2006-07-03,7,2
2006-07-03,7,2
2006-07-03,7,46
2006-07-03,7,4
2006-07-03,7,7
2006-07-03,7,29
2006-07-03,7,10
2006-07-03,7,2
2006-07-03,8,3
2006-07-03,8,7
2006-07-03,8,1
2006-07-03,8,36
2006-07-03,8,41
2006-07-03,8,4
2006-07-03,8,10
2006-07-03,8,4
2006-07-03,8,1
2006-07-03,8,2
2006-07-03,8,17
2006-07-03,8,10
2006-07-03,8,20
2006-07-03,8,22
2006-07-03,8,3
2006-07-03,8,2
2006-07-03,8,2
2006-07-03,8,1
2006-07-03,8,10
2006-07-03,8,4
2006-07-03,8,279
2006-07-03,8,253
2006-07-03,8,2
2006-07-03,8,169
2006-07-03,8,14
2006-07-03,8,3
2006-07-03,8,26
2006-07-03,8,2
2006-07-03,8,3
2006-07-03,9,8
2006-07-03,9,7
2006-07-03,9,143
2006-07-03,9,3
2006-07-03,9,19
2006-07-03,9,14
2006-07-03,9,2
2006-07-03,9,7
2006-07-03,9,81
2006-07-03,9,4
2006-07-03,9,11
2006-07-03,9,3
2006-07-03,9,3
2006-07-03,9,10
2006-07-03,9,3
2006-07-03,9,6
2006-07-03,9,4
2006-07-03,9,23
2006-07-03,9,3
2006-07-03,9,1
2006-07-03,9,3
2006-07-03,9,1
2006-07-03,9,6
2006-07-03,9,8
2006-07-03,9,44
2006-07-03,9,4
2006-07-03,9,6
2006-07-03,9,9
2006-07-03,9,12
2006-07-03,9,10
2006-07-03,9,12
2006-07-03,9,2
2006-07-03,9,60
2006-07-03,9,255
2006-07-03,9,5
2006-07-03,9,5
2006-07-03,9,3
2006-07-03,9,26
2006-07-03,9,6
2006-07-03,9,7
2006-07-04,0,4
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,7
2006-07-04,0,1
2006-07-04,0,34
2006-07-04,0,1
2006-07-04,0,2714
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,2
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,65
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,32
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,79
2006-07-04,0,1
2006-07-04,0,2
2006-07-04,0,1
2006-07-04,0,2
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,3
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,0,1
2006-07-04,1,2
2006-07-04,1,2
2006-07-04,1,2
2006-07-04,1,3
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,1493
2006-07-04,1,20
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,6
2006-07-04,1,2
2006-07-04,1,8
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,2
2006-07-04,1,15
2006-07-04,1,4
2006-07-04,1,3
2006-07-04,1,3
2006-07-04,1,5
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,3
2006-07-04,1,201
2006-07-04,1,12
2006-07-04,1,6
2006-07-04,1,12
2006-07-04,1,1
2006-07-04,1,66
2006-07-04,1,18
2006-07-04,1,2
2006-07-04,1,1
2006-07-04,1,1
2006-07-04,1,2
2006-07-04,2,29
2006-07-04,2,85
2006-07-04,2,1
2006-07-04,2,4
2006-07-04,2,1
2006-07-04,2,11
2006-07-04,2,1
2006-07-04,2,411
2006-07-04,2,935
2006-07-04,2,1
2006-07-04,2,3
2006-07-04,2,73
2006-07-04,2,1
2006-07-04,2,11
2006-07-04,2,1
2006-07-04,2,8
2006-07-04,2,4
2006-07-04,2,4
2006-07-04,3,1
2006-07-04,3,1
2006-07-04,3,26
2006-07-04,3,2
2006-07-04,3,1
2006-07-04,3,2
2006-07-04,3,4
2006-07-04,3,1
2006-07-04,3,2
2006-07-04,3,1
2006-07-04,3,4
2006-07-04,3,2
2006-07-04,4,4
2006-07-04,4,1
2006-07-04,4,1
2006-07-04,4,15
2006-07-04,4,1
2006-07-04,4,7
2006-07-04,4,14
2006-07-04,4,14
2006-07-04,4,28
2006-07-04,4,83
2006-07-04,4,19
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,5,22
2006-07-04,5,2
2006-07-04,5,1
2006-07-04,5,2
2006-07-04,5,4
2006-07-04,5,4
2006-07-04,5,1
2006-07-04,5,4
2006-07-04,5,5
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,5,1
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,5,2
2006-07-04,6,1
2006-07-04,6,2
2006-07-04,6,1
2006-07-04,6,38
2006-07-04,6,2
2006-07-04,6,2
2006-07-04,6,2
2006-07-04,6,1
2006-07-04,6,4
2006-07-04,6,2
2006-07-04,6,1
2006-07-04,6,1
2006-07-04,6,1
2006-07-04,6,1
2006-07-04,6,2
2006-07-04,6,4
2006-07-04,6,4
2006-07-04,7,8
2006-07-04,7,3
2006-07-04,7,2
2006-07-04,7,34
2006-07-04,7,1
